역명,일자, 이용인원 , 승차인원 , 하차인원 
주안,2023-06-19,15434,6677,8757
시민공원(문화창작지대),2023-06-19,18372,9432,8940
석바위시장,2023-06-19,8588,4136,4452
인천시청,2023-06-19,6349,3047,3302
석천사거리,2023-06-19,9225,4777,4448
모래내시장,2023-06-19,15134,7325,7809
만수,2023-06-19,9899,5150,4749
남동구청,2023-06-19,8715,4550,4165
인천대공원,2023-06-19,5279,2681,2598
운연(서창),2023-06-19,2573,1382,1191
검단오류(검단산업단지),2023-06-20,5979,2943,3036
왕길,2023-06-20,5120,2560,2560
검단사거리,2023-06-20,16514,8687,7827
마전,2023-06-20,8874,4301,4573
완정,2023-06-20,15151,7803,7348
독정,2023-06-20,7918,3902,4016
검암,2023-06-20,5863,3128,2735
검바위,2023-06-20,7540,3610,3930
아시아드경기장(공촌사거리),2023-06-20,9652,5158,4494
서구청,2023-06-20,17032,8401,8631
가정(루원시티),2023-06-20,23201,11870,11331
가정중앙시장,2023-06-20,11245,5441,5804
석남(거북시장),2023-06-20,6328,3062,3266
서부여성회관,2023-06-20,8025,4081,3944
인천가좌,2023-06-20,8486,4301,4185
가재울,2023-06-20,7299,3734,3565
주안국가산단,2023-06-20,5597,2761,2836
주안,2023-06-20,15741,6758,8983
시민공원(문화창작지대),2023-06-20,18522,9542,8980
석바위시장,2023-06-20,8728,4209,4519
인천시청,2023-06-20,6469,3081,3388
석천사거리,2023-06-20,9429,4886,4543
모래내시장,2023-06-20,15368,7493,7875
만수,2023-06-20,10432,5398,5034
남동구청,2023-06-20,8988,4616,4372
인천대공원,2023-06-20,5150,2617,2533
운연(서창),2023-06-20,2649,1425,1224
검단오류(검단산업단지),2023-06-21,5851,2909,2942
왕길,2023-06-21,5076,2563,2513
검단사거리,2023-06-21,16372,8539,7833
마전,2023-06-21,8893,4368,4525
완정,2023-06-21,14770,7618,7152
독정,2023-06-21,7711,3852,3859
검암,2023-06-21,5718,3087,2631
검바위,2023-06-21,7588,3739,3849
아시아드경기장(공촌사거리),2023-06-21,9689,5123,4566
서구청,2023-06-21,16855,8240,8615
가정(루원시티),2023-06-21,22850,11633,11217
가정중앙시장,2023-06-21,11006,5283,5723
석남(거북시장),2023-06-21,6304,3060,3244
서부여성회관,2023-06-21,8042,4114,3928
인천가좌,2023-06-21,8425,4258,4167
가재울,2023-06-21,7194,3695,3499
주안국가산단,2023-06-21,5554,2705,2849
주안,2023-06-21,15513,6692,8821
시민공원(문화창작지대),2023-06-21,18207,9412,8795
석바위시장,2023-06-21,8778,4227,4551
인천시청,2023-06-21,6830,3287,3543
석천사거리,2023-06-21,9150,4751,4399
모래내시장,2023-06-21,14881,7233,7648
만수,2023-06-21,10196,5209,4987
남동구청,2023-06-21,8999,4651,4348
인천대공원,2023-06-21,4011,2016,1995
운연(서창),2023-06-21,2542,1319,1223
검단오류(검단산업단지),2023-06-22,5890,2899,2991
왕길,2023-06-22,5323,2651,2672
검단사거리,2023-06-22,16753,8748,8005
마전,2023-06-22,8987,4443,4544
완정,2023-06-22,15066,7848,7218
독정,2023-06-22,8092,4042,4050
검암,2023-06-22,5898,3178,2720
검바위,2023-06-22,7733,3733,4000
아시아드경기장(공촌사거리),2023-06-22,9656,5149,4507
서구청,2023-06-22,17588,8678,8910
가정(루원시티),2023-06-22,23583,12126,11457
가정중앙시장,2023-06-22,11634,5591,6043
석남(거북시장),2023-06-22,6334,3042,3292
서부여성회관,2023-06-22,8169,4213,3956
인천가좌,2023-06-22,8568,4330,4238
가재울,2023-06-22,7317,3692,3625
주안국가산단,2023-06-22,5687,2810,2877
주안,2023-06-22,16385,6997,9388
시민공원(문화창작지대),2023-06-22,18595,9569,9026
석바위시장,2023-06-22,8981,4316,4665
인천시청,2023-06-22,7209,3473,3736
석천사거리,2023-06-22,9495,4937,4558
모래내시장,2023-06-22,16356,7945,8411
만수,2023-06-22,10559,5526,5033
남동구청,2023-06-22,9185,4791,4394
인천대공원,2023-06-22,6105,3072,3033
운연(서창),2023-06-22,2777,1489,1288
검단오류(검단산업단지),2023-06-23,5829,2883,2946
왕길,2023-06-23,5428,2776,2652
검단사거리,2023-06-23,17969,9367,8602
마전,2023-06-23,9081,4510,4571
완정,2023-06-23,15829,8235,7594
독정,2023-06-23,8182,4064,4118
검암,2023-06-23,6226,3306,2920
검바위,2023-06-23,7654,3757,3897
아시아드경기장(공촌사거리),2023-06-23,9774,5221,4553
서구청,2023-06-23,18333,9071,9262
가정(루원시티),2023-06-23,24450,12539,11911
가정중앙시장,2023-06-23,12148,5821,6327
석남(거북시장),2023-06-23,6641,3246,3395
서부여성회관,2023-06-23,8699,4441,4258
인천가좌,2023-06-23,8750,4464,4286
가재울,2023-06-23,7445,3810,3635
주안국가산단,2023-06-23,5219,2536,2683
주안,2023-06-23,16909,7151,9758
시민공원(문화창작지대),2023-06-23,18723,9699,9024
석바위시장,2023-06-23,9089,4380,4709
인천시청,2023-06-23,6964,3331,3633
석천사거리,2023-06-23,9733,5050,4683
모래내시장,2023-06-23,17138,8442,8696
만수,2023-06-23,10935,5695,5240
남동구청,2023-06-23,9282,4856,4426
인천대공원,2023-06-23,5671,2865,2806
운연(서창),2023-06-23,2754,1469,1285
검단오류(검단산업단지),2023-06-24,2235,1177,1058
왕길,2023-06-24,3112,1582,1530
검단사거리,2023-06-24,13617,7121,6496
마전,2023-06-24,6047,2985,3062
완정,2023-06-24,10262,5367,4895
독정,2023-06-24,5372,2702,2670
검암,2023-06-24,4730,2495,2235
검바위,2023-06-24,4001,1949,2052
아시아드경기장(공촌사거리),2023-06-24,6867,3649,3218
