"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250101","경인선","인천","3680","3033","20250104",""
"20250101","경인선","구일","2624","2666","20250104",""
"20250101","경인선","소사","3498","3490","20250104",""
"20250101","경인선","부개","3956","3853","20250104",""
"20250101","경인선","간석","2767","2681","20250104",""
"20250101","경인선","도원","1274","1385","20250104",""
"20250101","경인선","온수(성공회대입구)","2944","2898","20250104",""
"20250101","경인선","중동","4157","4104","20250104",""
"20250101","경인선","도화","1961","2014","20250104",""
"20250101","경춘선","신내","1036","1014","20250104",""
"20250101","경춘선","갈매","999","925","20250104",""
"20250101","경춘선","별내","1246","1086","20250104",""
"20250101","경춘선","퇴계원","1490","1420","20250104",""
"20250101","경춘선","사릉","857","922","20250104",""
